time;lv Rx;lv Ry;lv Rz;lv Vx;lv Vy;lv Vz;sc Rx;sc Ry;sc Rz;sc Vx;sc Vy;sc Vz;rel dist;rel vel;stiff force
0.6;5735891.671095304;-935769.4498958845;3293166.6140062446;-3439.7486184738073;2125.6197838004055;6595.239075410894;5735891.526421466;-935769.3604053867;3293166.891881121;-3439.95174133766;2125.74542894974;6595.629213260201;0.3258120862592076;0.4574419556985713;0.0
0.61;5735857.2732255915;-935748.1936354769;3293232.5661768;-3439.8253241548286;2125.6322976756733;6595.1950355494;5735857.126520524;-935748.1028885274;3293232.847953055;-3440.0284470167253;2125.7579428238014;6595.58517339497;0.33038650638900363;0.45744195131124443;0.0
0.62;5735822.874588823;-935726.9372499319;3293298.5179069526;-3439.902029375838;2125.6448112666794;6595.1509948059365;5735822.725852527;-935726.8452465311;3293298.803584586;-3440.105152235751;2125.7704564135847;6595.541132647717;0.3349609256441553;0.457441946862316;0.0
0.63;5735788.475185005;-935705.6807392525;3293364.469196693;-3439.9787341368246;2125.6573245734235;6595.106953180508;5735788.32441748;-935705.5874794001;3293364.7587757055;-3440.1818569947263;2125.782969719088;6595.497091018447;0.339535345757554;0.457441942351985;0.0
0.64;5735754.075014142;-935684.4241034414;3293430.4200460133;-3440.055438437778;2125.6698375959027;6595.062910673121;5735753.922215388;-935684.3295871376;3293430.7135264035;-3440.2585612936414;2125.7954827403105;6595.453048507166;0.3441097650610786;0.45744193778103004;0.0
0.65;5735719.674076238;-935663.1673425015;3293496.3704549037;-3440.132142278688;2125.682350334116;6595.018867283782;5735719.519246255;-935663.0715697462;3293496.6678366726;-3440.335265132486;2125.8079954772497;6595.409005113881;0.3486841847133781;0.4574419331480218;0.0
0.66;5735685.272371298;-935641.9104564356;3293562.320423356;-3440.2088456595443;2125.6948627880615;6594.974823012496;5735685.1155100865;-935641.813427229;3293562.621706503;-3440.4119685112487;2125.8205079299046;6595.364960838598;0.3532586040005054;0.45744192845496334;0.0
0.67;5735650.869899326;-935620.6534452466;3293628.269951361;-3440.2855485803366;2125.707374957737;6594.93077785927;5735650.711006887;-935620.5551595886;3293628.575135886;-3440.48867142992;2125.8330200982728;6595.320915681322;0.357833022444964;0.4574419236999765;0.0
0.68;5735616.466660328;-935599.3963089375;3293694.21903891;-3440.362251041054;2125.719886843142;6594.886731824109;5735616.30573666;-935599.2967668279;3293694.5281248135;-3440.5653738884894;2125.845531982353;6595.27686964206;0.3624074421456364;0.4574419188846896;0.0
0.6900000000000001;5735582.062654307;-935578.1390475107;3293760.1676859944;-3440.438953041687;2125.7323984442733;6594.842684907019;5735581.89969941;-935578.0382489499;3293760.4806732764;-3440.6420758869467;2125.8580435821436;6595.232822720816;0.36698186176596026;0.45744191400792605;0.0
0.7000000000000001;5735547.657881268;-935556.8816609695;3293826.1158926054;-3440.5156545822247;2125.7449097611307;6594.798637108007;5735547.492895144;-935556.7796059573;3293826.432781265;-3440.7187774252816;2125.8705548976427;6595.188774917598;0.37155628021041887;0.45744190906918625;0.0
0.71;5735513.252341217;-935535.6241493165;3293892.063658734;-3440.592355662657;2125.7574207937114;6594.754588427078;5735513.085323864;-935535.520837853;3293892.384448772;-3440.7954785034835;2125.8830659288483;6595.144726232411;0.3761306998791156;0.45744190407006935;0.0
0.72;5735478.846034157;-935514.3665125546;3293958.010984371;-3440.6690562829735;2125.769931542014;6594.710538864238;5735478.676985575;-935514.2619446396;3293958.3356757867;-3440.8721791215416;2125.8955766757595;6595.100676665261;0.3807051187690951;0.45744189900914906;0.0
0.73;5735444.438960093;-935493.1087506865;3294023.9578695083;-3440.7457564431634;2125.7824420060374;6594.666488419492;5735444.267880282;-935493.0029263203;3294024.286462302;-3440.948879279447;2125.9080871383744;6595.056626216154;0.3852795375951231;0.45744189388768175;0.0
0.74;5735410.031119029;-935471.8508637154;3294089.9043141366;-3440.822456143217;2125.794952185779;6594.6224370928485;5735409.858007991;-935471.7437828978;3294090.2368083084;-3441.0255789771877;2125.9205973166904;6595.012574885096;0.3898539564367296;0.45744188870473484;0.0
0.75;5735375.6225109715;-935450.5928516438;3294155.850318247;-3440.899155383124;2125.807462081238;6594.578384884311;5735375.447368705;-935450.484514375;3294156.1867137966;-3441.102278214754;2125.933107210707;6594.968522672093;0.3944283752627577;0.4574418834606353;0.0
0.76;5735341.213135923;-935429.3347144747;3294221.795881831;-3440.9758541628735;2125.8199716924123;6594.534331793887;5735341.035962428;-935429.2251207546;3294222.136178759;-3441.1789769921356;2125.945616820422;6594.92446957715;0.39900279451790926;0.45744187815480924;0.0
0.77;5735306.80299389;-935408.0764522109;3294287.74100488;-3441.052552482455;2125.8324810193;6594.490277821581;5735306.623789166;-935407.9656020395;3294288.085203185;-3441.2556753093227;2125.958126145834;6594.880415600275;0.4035772129467895;0.45744187278913495;0.0
0.78;5735272.392084875;-935386.8180648553;3294353.6856873846;-3441.1292503418595;2125.8449900618994;6594.446222967401;5735272.210848924;-935386.7059582326;3294354.033787068;-3441.332373166304;2125.9706351869404;6594.836360741473;0.4081516317564203;0.45744186736120535;0.0
